gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
986399271	b5e9e6f3-3214-4aae-9af7-92d08d8f8a9d	UNAL:GEBIX:PNNN:BS120:SSC:V3	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	Parque Nacional Natural de Los Nevados, Vereda El Bosque, finca  buenos aires, Ventana de observación 3	Risaralda	PRESENT		eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	4.73525	-75.44505			3432.0	0.0			2011-08-04	4	8	2011	7945561		PRESERVED_SPECIMEN	UNAL	UNAL:GEBIX:PNNN	BS120:SSC:V3		Lizeth Manuela Avellaneda-Torres	2012-07-01T00:00:00	CC0_1_0	Lizeth Manuela Avellaneda-Torres, Esperanza Torres Rojas, Universidad Nacional de Colombia, Centro Colombiano en Genómica y Ambientes Extremos (GeBiX)	Lizeth Manuela Avellaneda-Torres			2025-11-25T14:30:41.942Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
986399260	b5e9e6f3-3214-4aae-9af7-92d08d8f8a9d	UNAL:GEBIX:PNNN:BS120:SBG:V3	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	Parque Nacional Natural de Los Nevados, Vereda El Bosque, finca  buenos aires, Ventana de observación 3	Risaralda	PRESENT		eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	4.7354	-75.4433			3769.0	0.0			2011-08-03	3	8	2011	7945561		PRESERVED_SPECIMEN	UNAL	UNAL:GEBIX:PNNN	BS120:SBG:V3		Lizeth Manuela Avellaneda-Torres	2012-07-01T00:00:00	CC0_1_0	Lizeth Manuela Avellaneda-Torres, Esperanza Torres Rojas, Universidad Nacional de Colombia, Centro Colombiano en Genómica y Ambientes Extremos (GeBiX)	Lizeth Manuela Avellaneda-Torres			2025-11-25T14:30:41.868Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
986399259	b5e9e6f3-3214-4aae-9af7-92d08d8f8a9d	UNAL:GEBIX:PNNN:BS120:SBC:V1	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	Parque Nacional Natural de Los Nevados, Vereda El Bosque, finca  buenos aires, Ventana de observación 1	Risaralda	PRESENT		eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	4.731533	-75.446			3769.0	0.0			2011-08-03	3	8	2011	7945561		PRESERVED_SPECIMEN	UNAL	UNAL:GEBIX:PNNN	BS120:SBC:V1		Lizeth Manuela Avellaneda-Torres	2012-07-01T00:00:00	CC0_1_0	Lizeth Manuela Avellaneda-Torres, Esperanza Torres Rojas, Universidad Nacional de Colombia, Centro Colombiano en Genómica y Ambientes Extremos (GeBiX)	Lizeth Manuela Avellaneda-Torres			2025-11-25T14:30:41.986Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
986399258	b5e9e6f3-3214-4aae-9af7-92d08d8f8a9d	UNAL:GEBIX:PNNN:BS120:SSG:V3	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	Parque Nacional Natural de Los Nevados, Vereda El Bosque, finca  buenos aires, Ventana de observación 3	Risaralda	PRESENT		eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	4.7354	-75.4433			3432.0	0.0			2011-08-04	4	8	2011	7945561		PRESERVED_SPECIMEN	UNAL	UNAL:GEBIX:PNNN	BS120:SSG:V3		Lizeth Manuela Avellaneda-Torres	2012-07-01T00:00:00	CC0_1_0	Lizeth Manuela Avellaneda-Torres, Esperanza Torres Rojas, Universidad Nacional de Colombia, Centro Colombiano en Genómica y Ambientes Extremos (GeBiX)	Lizeth Manuela Avellaneda-Torres			2025-11-25T14:30:41.915Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
986399255	b5e9e6f3-3214-4aae-9af7-92d08d8f8a9d	UNAL:GEBIX:PNNN:BS120:SSP:V3	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	Parque Nacional Natural de Los Nevados, Vereda El Bosque, finca  buenos aires, Ventana de observación 3	Risaralda	PRESENT		eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	4.7376	-75.442517			3432.0	0.0			2011-08-04	4	8	2011	7945561		PRESERVED_SPECIMEN	UNAL	UNAL:GEBIX:PNNN	BS120:SSP:V3		Lizeth Manuela Avellaneda-Torres	2012-07-01T00:00:00	CC0_1_0	Lizeth Manuela Avellaneda-Torres, Esperanza Torres Rojas, Universidad Nacional de Colombia, Centro Colombiano en Genómica y Ambientes Extremos (GeBiX)	Lizeth Manuela Avellaneda-Torres			2025-11-25T14:30:41.967Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
986399245	b5e9e6f3-3214-4aae-9af7-92d08d8f8a9d	UNAL:GEBIX:PNNN:BS120:SSP:V2	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	Parque Nacional Natural de Los Nevados, Vereda El Bosque, finca  buenos aires, Ventana de observación 2	Risaralda	PRESENT		eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	4.7376	-75.442517			3432.0	0.0			2011-08-04	4	8	2011	7945561		PRESERVED_SPECIMEN	UNAL	UNAL:GEBIX:PNNN	BS120:SSP:V2		Lizeth Manuela Avellaneda-Torres	2012-07-01T00:00:00	CC0_1_0	Lizeth Manuela Avellaneda-Torres, Esperanza Torres Rojas, Universidad Nacional de Colombia, Centro Colombiano en Genómica y Ambientes Extremos (GeBiX)	Lizeth Manuela Avellaneda-Torres			2025-11-25T14:30:41.967Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
986399242	b5e9e6f3-3214-4aae-9af7-92d08d8f8a9d	UNAL:GEBIX:PNNN:BS120:SBP:V1	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	Parque Nacional Natural de Los Nevados, Vereda El Bosque, finca  buenos aires, Ventana de observación 1	Risaralda	PRESENT		eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	4.737683	-75.44255			3769.0	0.0			2011-08-03	3	8	2011	7945561		PRESERVED_SPECIMEN	UNAL	UNAL:GEBIX:PNNN	BS120:SBP:V1		Lizeth Manuela Avellaneda-Torres	2012-07-01T00:00:00	CC0_1_0	Lizeth Manuela Avellaneda-Torres, Esperanza Torres Rojas, Universidad Nacional de Colombia, Centro Colombiano en Genómica y Ambientes Extremos (GeBiX)	Lizeth Manuela Avellaneda-Torres			2025-11-25T14:30:41.976Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
986399226	b5e9e6f3-3214-4aae-9af7-92d08d8f8a9d	UNAL:GEBIX:PNNN:BS120:SBC:V3	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	Parque Nacional Natural de Los Nevados, Vereda El Bosque, finca  buenos aires, Ventana de observación 3	Risaralda	PRESENT		eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	4.73525	-75.44505			3769.0	0.0			2011-08-03	3	8	2011	7945561		PRESERVED_SPECIMEN	UNAL	UNAL:GEBIX:PNNN	BS120:SBC:V3		Lizeth Manuela Avellaneda-Torres	2012-07-01T00:00:00	CC0_1_0	Lizeth Manuela Avellaneda-Torres, Esperanza Torres Rojas, Universidad Nacional de Colombia, Centro Colombiano en Genómica y Ambientes Extremos (GeBiX)	Lizeth Manuela Avellaneda-Torres			2025-11-25T14:30:41.986Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
986399070	b5e9e6f3-3214-4aae-9af7-92d08d8f8a9d	UNAL:GEBIX:PNNN:BF205:IBG:V3	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	Parque Nacional Natural de Los Nevados, Vereda El Bosque, finca  buenos aires, Ventana de observación 3	Risaralda	PRESENT		eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	4.749067	-75.44665			3769.0	0.0			2011-06-08	8	6	2011	7945561		PRESERVED_SPECIMEN	UNAL	UNAL:GEBIX:PNNN	BF205:IBG:V3		Lizeth Manuela Avellaneda-Torres	2012-07-01T00:00:00	CC0_1_0	Lizeth Manuela Avellaneda-Torres, Esperanza Torres Rojas, Universidad Nacional de Colombia, Centro Colombiano en Genómica y Ambientes Extremos (GeBiX)	Lizeth Manuela Avellaneda-Torres			2025-11-25T14:30:41.977Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
986399064	b5e9e6f3-3214-4aae-9af7-92d08d8f8a9d	UNAL:GEBIX:PNNN:BF205:IBG:V1	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus			GENUS	Staphylococcus Rosenbach, 1884	Staphylococcus		CO	Parque Nacional Natural de Los Nevados, Vereda El Bosque, finca  buenos aires, Ventana de observación 1	Risaralda	PRESENT		eac88d99-9f6c-4031-8fc4-8088f0e0dfe7	4.749183	-75.446633			3769.0	0.0			2011-06-08	8	6	2011	7945561		PRESERVED_SPECIMEN	UNAL	UNAL:GEBIX:PNNN	BF205:IBG:V1		Lizeth Manuela Avellaneda-Torres	2012-07-01T00:00:00	CC0_1_0	Lizeth Manuela Avellaneda-Torres, Esperanza Torres Rojas, Universidad Nacional de Colombia, Centro Colombiano en Genómica y Ambientes Extremos (GeBiX)	Lizeth Manuela Avellaneda-Torres			2025-11-25T14:30:41.977Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
